このマップは モンスターから逃げられません。,You can't run from monsters on this map.
せんれきに　登録された！,was registered in your Records!
おまんじゅうの入った折詰,Steamed Bread Packed in a Box
あこがれの称号さ見てえ！,I Always Wanted This Title
さらば愛しのシシカバブ！,Farewell Dear Shish-Kebab!
はんなり　おもてなしの色,Color of Fine Hospitality
まもの博士の研究レポート,Monster Doctor's Research
おねがいチェルシー先生！,Oh, Please, Miss Chelsea!
さらば愛しきポイックリン,Farewell, My Dear Poiclin
これって神のお告げなの？,Is This a Sign From God?
ごめんなさいを言いたくて,I Want to Say I'm Sorry
わくわくエキシビション♪,Exciting Exhibition ♪
ようこそ♪ひよっ子ちゃん,Welcome ♪ Young Child
うふ♪まだまだ甘ちゃんね,Smiling ♪ Sweet Girl
お得な無料キャンペーン！,Free Deal Promotion!
お願いベントラーコイン！,Please Bentler Coin!
さらに上を目指すっしょ？,You'll Aim Higher?
ただの　しかばねのようだ,It's just a corpse
その翼は未来へと羽ばたく,Wings Soar to the Future
かばんを持てない者たちへ,To Those With Full Bags
いばらの巫女と滅びの神,Thorny Maiden and the God of Destruction
いたスト・銀行＆城マス,Fortune Street - Bank
しぐさ書・天灯１０周年,Emote "Lantern 10th Anniversary"
まもの使いハウス・牧舎,Monster Master House - Stables
たれ茶トラ太猫カプセル,Fat Lazy Brown Tabby Toy
お姫様のパーティ机・橙,Princess Party Table
いたずらもぐらの像・庭,Mischievous Mole Statue (G)
たれキナリ太猫カプセル,Fat Lazy Kinari Cat Toy
さまようよろいの像・庭,Restless Armour Statue (G)
きせかえドール・プク男,Pukulipo Dress-Up Doll (M)
きせかえドールプク男＋,Pukulipo Dress-Up Doll+ (M)
きせかえドール・プク女,Pukulipo Dress-Up Doll (F)
きせかえドールプク女＋,Pukulipo Dress-Up Doll+ (F)
たれ黒猫オッドカプセル,Odd Lazy Black Cat Toy
こげ茶キツネ猫カプセル,Olive Fox Cat Toy
ふわふわ雲オブジェ・虹,Fluffy Cloud Curio
いたスト・ラッキーマス,Fortune Street - Lucky
もんもん　モーモン訪問,Tense Teeny Sanguini Visit
あまたの願いを求めて２,In Search of More Wishes 2
かっこよクモかわいクモ,Cool Spiders, Cute Spiders
お姫様のカウンタ大・橙,Princess Counter L
お姫様のカウンタ小・橙,Princess Counter S
たんすミミックの像・庭,Wardrobe Mimic Statue (G)
いたスト・トランプマス,Fortune Street - Card
はにわにんぎょう像・庭,Clay Mannequin Statue (G)
はくばのおうじの像・庭,Prince Harming Statue (G)
いにしえの聖賢を訪ねて,Visiting the Ancient Sage
まもの使いは　いかが？,How About Monster Master?
あの人に追いつきたくて,I Want to Catch Up to Them
あるある川柳２０２３銀,Haiku 2023 Silver
あるある川柳２０２３銅,Haiku 2023 Bronze
うごくせきぞうの像・庭,Living Statue Statue (G)
きようさにくまんの秘密,Deft Meat Buns Recipe
いやしのムニエルを得る,Mending Meuniere Recipe
ほのおのブーメランの書,Flametang Book
だいだいカメリアのタネ,Sour Orange Camellia Seed
お熱いのが好きでしょ♪,You Like Being in Love ♪
いにしえの遺志を継ぐ者,Heir to Ancient's Legacy
あなたが戻るその日まで,Until the Day You Return
お庭用ドラポヨモニター,Tubby Dracky Monitor (G)
ご近所なかよしボックス,Neighborhood Friend Box
しぐさ書・綿毛タンポラ,Emote "Fluff Dandelion"
おもちゃの四角い家・雪,Toy Square House (Snow)
お姫様のテーブル小・橙,Princess Table S
お姫様のテーブル大・橙,Princess Table L
きせかえドール・人間男,Human Dress-Up Doll (M)
きせかえドール・人間女,Human Dress-Up Doll (F)
おばけキャンドル像・庭,Wax Murderer Statue (G)
きせかえドール人間男＋,Human Dress-Up Doll+ (M)
きせかえドール人間女＋,Human Dress-Up Doll+ (F)
きせかえドールオガ男＋,Ogre Dress-Up Doll+ (M)
きせかえドールオガ女＋,Ogre Dress-Up Doll+ (F)
きせかえドール・ウェ男,Weddie Dress-Up Doll (M)
きせかえドールウェ男＋,Weddie Dress-Up Doll+ (M)
きせかえドール・ウェ女,Weddie Dress-Up Doll (F)
きせかえドールウェ女＋,Weddie Dress-Up Doll+ (F)
きせかえドール・ドワ男,Dwarf Dress-Up Doll (M)
きせかえドールドワ男＋,Dwarf Dress-Up Doll+ (M)
きせかえドール・ドワ女,Dwarf Dress-Up Doll (F)
きせかえドールドワ女＋,Dwarf Dress-Up Doll+ (F)
ふわふわ雲のライト図鑑,Fluffy Cloud Light Book
まじゅうのツメの作り方,How to Make Beast Claws
うろこのよろいの作り方,How to Make Scale Armor
くすしのローブの作り方,Make Apothecary Clothes
みわくのリボンの作り方,How to Make a Hypnowhip
まてきのスティック物語,Brouhaha Boomstick Tale
ふわふわ雲オブジェ・星,Fluffy Cloud Star Curio
お正月ザンクローネ・酉,White New Year Zankrone
こどもの日ザンクローネ,Children's Day Zankrone
とある親友同士の肖像画,2 Best Friends Portrait
よみがえる踊り子の伝説,Revived Dancer's Legend
のぼれ！　不思議の魔塔,Climb! Mysterious Tower
あこがれのエステラさま,I Long for You, Estella
しぐさ書・お祝いリボン,Emote "Congrats Ribbon"
あるある川柳２０２３金,Haiku 2023 Gold
たそがれの路地裏の門柱,Twilight Alley Gatepost
しぐさ書・ダンシング紫,Emote "Dancing Purple"
きせかえドール・オガ男,Ogre Dress-Up Doll (M)
きせかえドール・オガ女,Ogre Dress-Up Doll (F)
きせかえドールエル男＋,Elf Dress-Up Doll+ (M)
きせかえドールエル女＋,Elf Dress-Up Doll+ (F)
おおばさみ作りのヒント,Sizable Scissors Making
まもりのローブの作り方,Safety Outift Book
まどうしのころも作成術,Making a Wizard Outfit
いなずまのやりのレシピ,Lightning Lance Recipe
ふしぎなトゲつきしっぽ,Mysterious Spiked Tail
おもちゃセット大図鑑２,Toy Encyclopedia Set 2
おもちゃセット大図鑑３,Toy Encyclopedia Set 3
お姫様のインテリアの本,Princess Interior Book
わかるエンジェル早詠術,Angel's Poetry Insight
しぐさ書・お重をどうぞ,Emote "Offer Food Box"
ふくびき夫婦のおみくじ,Lottery Couple Fortune
お土産屋さんの番傘飾り,Souvenir Shop Umbrella
たたかいの準備ボックス,Battle Preparation Box
しぐさ書・どうぐ最適術,Emote "Item Technique"
こちら　レンジャー協会,The Ranger Association
しぐさ書・きこえなーい,Emote "Can't Hear You"
お祭りやぐら館庭用板壁,Festival Wood Wall (G)
お祭りやぐら館庭用砂壁,Festival Sand Wall (G)
たそがれの煙突付き建物,Twilight Chimney House
たそがれのコンクリの壁,Twilight Concrete Wall
しぐさ書・ゴールデン紫,Emote "Golden Purple"
しぐさ書・まえならえ前,Emote "Hands on Hips"
せかいじゅのリーフパイ,Yggdrasil Leaf Pie
しぐさ書・ダンシング緑,Emote "Dancing Green"
しぐさ書・ピーヒャラ笛,Emote "Paper Whistle"
ごうかなよろい飾り・赤,Red Fancy Armor Decor
ごうかなパーティ机・赤,Red Fancy Party Table
しゃっきりレタスのタネ,Luscious Lettuce Seed
きせかえドール・エル男,Elf Dress-Up Doll (M)
きせかえドール・エル女,Elf Dress-Up Doll (F)
やさしい鉄槌のくだし方,Using a Gentle Hammer
まじないしの服の作り方,Fizzle-Proof Book
すごろくバトルマスター,Sugoroku Battlemaster
ちゃばしらこぞう像・庭,Tea Candle Statue (G)
しぐさ書・Ｓクローバー,Emote "Signal Clover"
しぐさ書・ヨーヨー風船,Emote "Balloon Yo-Yo"
ご威光にあやかりたい！,Basking in Your Glory
すべての職人を総べる者,Craftman's Supervisor
しぐさ書・ゴールデン緑,Emote "Golden Green"
しぐさ書・フィーバー紫,Emote "Fever Purple"
